,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,1,minfill,"          p  l2n1
0  0.594328  True",20,20,2,0.023589134216308594
0,No,6,9,0,1,minfill,"      p   l2n1
0  0.81  False",0,0,2,0.0030698776245117188
0,No,6,9,0,1,minfill,"      p   l0n2
0  0.75  False",0,0,2,0.002880096435546875
0,No,6,9,0,1,minfill,"      p  l2n0
0  0.92  True",0,0,2,0.0028519630432128906
0,No,6,9,0,1,minfill,"      p  l1n0
0  0.64  True",0,0,2,0.002830028533935547
0,No,6,9,0,1,minfill,"      p   l1n0
0  0.88  False",0,0,2,0.0031960010528564453
0,No,6,9,0,1,minfill,"       p  l1n2
0  0.556  True",4,4,2,0.0064830780029296875
0,No,6,9,0,1,minfill,"        p  l1n2
0  0.7948  True",4,4,2,0.006374835968017578
0,No,6,9,0,1,minfill,"        p   l2n0
0  0.8698  False",4,4,2,0.006313800811767578
0,No,6,9,0,1,minfill,"      p  l0n0
0  0.75  True",0,0,2,0.0028409957885742188
0,No,6,9,0,1,minfill,"      p  l2n0
0  0.79  True",0,0,2,0.0030219554901123047
0,No,6,9,0,1,minfill,"      p  l0n2
0  0.95  True",0,0,2,0.002864837646484375
0,No,6,9,0,1,minfill,"      p  l0n1
0  0.61  True",0,0,2,0.0029268264770507812
0,No,6,9,0,1,minfill,"          p   l2n1
0  0.505291  False",44,44,2,0.030720949172973633
0,No,6,9,0,1,minfill,"       p  l1n1
0  0.532  True",4,4,2,0.0067598819732666016
0,No,6,9,0,1,minfill,"        p  l2n1
0  0.8078  True",4,4,2,0.0064699649810791016
0,No,6,9,0,1,minfill,"      p  l0n2
0  0.56  True",0,0,2,0.0028879642486572266
0,No,6,9,0,1,minfill,"       p   l1n0
0  0.657  False",4,4,2,0.0064907073974609375
0,No,6,9,0,1,minfill,"     p   l0n2
0  0.8  False",0,0,2,0.0028710365295410156
0,No,6,9,0,1,minfill,"      p   l1n1
0  0.79  False",0,0,2,0.002846956253051758
0,No,6,9,0,1,minfill,"      p  l1n0
0  0.52  True",0,0,2,0.0029718875885009766
0,No,6,9,0,1,minfill,"          p   l2n0
0  0.574512  False",28,28,2,0.023615121841430664
0,No,6,9,0,1,minfill,"      p   l0n1
0  0.62  False",0,0,2,0.0031752586364746094
0,No,6,9,0,1,minfill,"          p  l2n0
0  0.802887  True",24,24,2,0.01905202865600586
0,No,6,9,0,1,minfill,"      p  l0n0
0  0.86  True",0,0,2,0.002863168716430664
0,No,6,9,0,1,minfill,"          p   l2n1
0  0.532841  False",40,40,2,0.02861309051513672
0,No,6,9,0,1,minfill,"      p  l0n2
0  0.74  True",0,0,2,0.0029838085174560547
0,No,6,9,0,1,minfill,"        p  l2n0
0  0.8717  True",8,8,2,0.011526107788085938
0,No,6,9,0,1,minfill,"         p  l2n1
0  0.82916  True",8,8,2,0.01110076904296875
0,No,6,9,0,1,minfill,"      p  l0n0
0  0.73  True",0,0,2,0.003351926803588867
0,No,6,9,0,1,mindegree,"       p  l1n0
0  0.593  True",4,4,2,0.006350040435791016
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.602542  False",8,8,2,0.009435892105102539
0,No,6,9,0,1,mindegree,"     p  l0n0
0  0.7  True",0,0,2,0.0027959346771240234
0,No,6,9,0,1,mindegree,"          p   l2n1
0  0.650863  False",16,16,2,0.013937950134277344
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.594928  False",8,8,2,0.009263992309570312
0,No,6,9,0,1,mindegree,"      p  l0n1
0  0.65  True",0,0,2,0.00293731689453125
0,No,6,9,0,1,mindegree,"     p   l0n2
0  0.5  False
1  0.5   True",0,0,2,0.0028302669525146484
0,No,6,9,0,1,mindegree,"      p  l0n0
0  0.79  True",0,0,2,0.002911090850830078
0,No,6,9,0,1,mindegree,"         p  l2n0
0  0.52846  True",8,8,2,0.009259939193725586
0,No,6,9,0,1,mindegree,"      p  l2n0
0  0.86  True",0,0,2,0.002791881561279297
0,No,6,9,0,1,mindegree,"          p  l2n1
0  0.562832  True",8,8,2,0.009177207946777344
0,No,6,9,0,1,mindegree,"          p  l1n1
0  0.672335  True",12,12,2,0.009897947311401367
0,No,6,9,0,1,mindegree,"      p   l1n1
0  0.59  False",0,0,2,0.002934694290161133
0,No,6,9,0,1,mindegree,"     p   l1n1
0  0.6  False",4,4,2,0.006305217742919922
0,No,6,9,0,1,mindegree,"     p  l0n2
0  0.9  True",0,0,2,0.002878904342651367
0,No,6,9,0,1,mindegree,"          p   l1n1
0  0.501648  False",12,12,2,0.010196924209594727
0,No,6,9,0,1,mindegree,"          p  l2n1
0  0.794721  True",16,16,2,0.01359701156616211
0,No,6,9,0,1,mindegree,"          p  l2n1
0  0.516808  True",8,8,2,0.009475231170654297
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.625062  False",16,16,2,0.013367891311645508
0,No,6,9,0,1,mindegree,"       p  l1n1
0  0.597  True",4,4,2,0.00613093376159668
0,No,6,9,0,1,mindegree,"      p   l0n1
0  0.88  False",0,0,2,0.0029060840606689453
0,No,6,9,0,1,mindegree,"        p  l1n0
0  0.8485  True",4,4,2,0.006204128265380859
0,No,6,9,0,1,mindegree,"          p   l2n0
0  0.570635  False",28,28,2,0.019905805587768555
0,No,6,9,0,1,mindegree,"      p  l0n2
0  0.61  True",0,0,2,0.0028009414672851562
0,No,6,9,0,1,mindegree,"      p   l0n0
0  0.57  False",0,0,2,0.002870798110961914
0,No,6,9,0,1,mindegree,"      p   l2n0
0  0.99  False",0,0,2,0.0028159618377685547
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.687415  False",28,28,2,0.020253896713256836
0,No,6,9,0,1,mindegree,"        p  l1n2
0  0.7222  True",4,4,2,0.006546735763549805
0,No,6,9,0,1,mindegree,"        p   l1n0
0  0.5219  False",4,4,2,0.006688833236694336
0,No,6,9,0,1,mindegree,"          p  l2n2
0  0.677125  True",8,8,2,0.00962376594543457
0,No,6,9,0,1,random,"        p  l2n0
0  0.6263  True",8,8,2,0.009135246276855469
0,No,6,9,0,1,random,"      p  l2n0
0  0.55  True",0,0,2,0.003007173538208008
0,No,6,9,0,1,random,"        p  l1n2
0  0.8676  True",4,4,2,0.006075859069824219
0,No,6,9,0,1,random,"         p  l2n2
0  0.80898  True",28,28,2,0.013957977294921875
0,No,6,9,0,1,random,"     p   l0n0
0  0.6  False",0,0,2,0.0029342174530029297
0,No,6,9,0,1,random,"      p  l0n0
0  0.69  True",0,0,2,0.002721071243286133
0,No,6,9,0,1,random,"      p   l2n0
0  0.73  False",0,0,2,0.0028159618377685547
0,No,6,9,0,1,random,"      p   l1n0
0  0.71  False",0,0,2,0.0027611255645751953
0,No,6,9,0,1,random,"      p   l2n1
0  0.55  False",0,0,2,0.002725839614868164
0,No,6,9,0,1,random,"        p   l1n2
0  0.7576  False",4,4,2,0.006062984466552734
0,No,6,9,0,1,random,"      p  l0n2
0  0.83  True",0,0,2,0.0027740001678466797
0,No,6,9,0,1,random,"      p   l0n2
0  0.72  False",0,0,2,0.0027320384979248047
0,No,6,9,0,1,random,"      p   l0n0
0  0.61  False",0,0,2,0.002809762954711914
0,No,6,9,0,1,random,"      p  l2n2
0  0.59  True",0,0,2,0.002729177474975586
0,No,6,9,0,1,random,"        p  l1n0
0  0.8744  True",4,4,2,0.006128787994384766
0,No,6,9,0,1,random,"     p  l2n2
0  0.7  True",0,0,2,0.002881765365600586
0,No,6,9,0,1,random,"      p  l0n2
0  0.71  True",0,0,2,0.0027837753295898438
0,No,6,9,0,1,random,"       p  l1n2
0  0.695  True",4,4,2,0.006640195846557617
0,No,6,9,0,1,random,"      p   l0n0
0  0.78  False",0,0,2,0.0028429031372070312
0,No,6,9,0,1,random,"      p   l0n0
0  0.51  False",0,0,2,0.0027780532836914062
0,No,6,9,0,1,random,"        p  l2n0
0  0.6692  True",4,4,2,0.006143808364868164
0,No,6,9,0,1,random,"     p   l0n2
0  0.7  False",0,0,2,0.002721071243286133
0,No,6,9,0,1,random,"      p   l2n1
0  0.55  False",0,0,2,0.0029349327087402344
0,No,6,9,0,1,random,"      p   l0n2
0  0.71  False",0,0,2,0.0027587413787841797
0,No,6,9,0,1,random,"      p   l0n2
0  0.53  False",0,0,2,0.00273895263671875
0,No,6,9,0,1,random,"      p  l0n0
0  0.72  True",0,0,2,0.0030281543731689453
0,No,6,9,0,1,random,"        p   l1n0
0  0.6676  False",4,4,2,0.006289958953857422
0,No,6,9,0,1,random,"      p   l1n2
0  0.72  False",0,0,2,0.003175973892211914
0,No,6,9,0,1,random,"          p  l2n2
0  0.692996  True",12,12,2,0.01006174087524414
0,No,6,9,0,1,random,"      p  l0n0
0  0.56  True",0,0,2,0.0030608177185058594
0,No,6,9,0,5,minfill,"   l0n2  l1n2  l2n0   l1n1   l0n0         p
0  True  True  True  False  False  0.436415",4,0,12,0.026068925857543945
0,No,6,9,0,5,minfill,"    l2n0  l0n1   l1n0         p
0  False  True  False  0.267676",24,20,8,0.03309011459350586
0,No,6,9,0,5,minfill,"   l0n0   l1n2   l2n1   l1n1         p
0  True  False  False  False  0.361372",18,8,16,0.03139090538024902
0,No,6,9,0,5,minfill,"    l1n2   l2n0   l1n1  l2n2         p
0  False  False  False  True  0.255237",32,24,12,0.040908098220825195
0,No,6,9,0,5,minfill,"   l2n2  l1n2  l1n1   l0n1         p
0  True  True  True  False  0.348479",2,0,10,0.020153045654296875
0,No,6,9,0,5,minfill,"    l2n0   l1n1   l0n0   l2n2         p
0  False  False  False  False  0.144298",44,32,17,0.043450117111206055
0,No,6,9,0,5,minfill,"   l2n0  l0n0   l2n2  l1n1         p
0  True  True  False  True  0.225622",30,24,12,0.040933847427368164
0,No,6,9,0,5,minfill,"    l1n0  l2n0  l0n2   l2n1         p
0  False  True  True  False  0.365529",28,16,18,0.03949999809265137
0,No,6,9,0,5,minfill,"   l1n2   l2n1  l2n0         p
0  True  False  True  0.483114",16,12,8,0.02244114875793457
0,No,6,9,0,5,minfill,"    l2n1   l1n1   l2n2   l1n0         p
0  False  False  False  False  0.183917
0  False  False   True  False  0.183917",24,20,10,0.0400700569152832
0,No,6,9,0,5,minfill,"   l2n1   l2n2   l1n2   l1n0         p
0  True  False  False  False  0.192512",26,20,16,0.04313969612121582
