,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,11,9,0,1,minfill,"          p   l2n2
0  0.914299  False",28,28,2,0.02422809600830078
0,No,12,9,0,1,minfill,"         p   l1n2
0  0.51568  False",28,28,2,0.015585184097290039
0,No,9,9,0,1,minfill,"      p  l0n0
0  0.62  True",0,0,2,0.0028710365295410156
0,No,11,9,0,1,minfill,"          p  l2n2
0  0.519526  True",56,52,2,0.026064157485961914
0,No,10,9,0,1,minfill,"          p  l2n2
0  0.718855  True",56,52,2,0.02642083168029785
0,No,15,9,0,1,minfill,"         p  l2n0
0  0.54902  True",104,92,2,0.03397774696350098
0,No,12,9,0,1,minfill,"          p  l1n1
0  0.824884  True",12,12,2,0.011066913604736328
0,No,11,9,0,1,minfill,"         p  l1n2
0  0.64001  True",28,28,2,0.016271114349365234
0,No,10,9,0,1,minfill,"         p   l2n1
0  0.78584  False",28,28,2,0.019685983657836914
0,No,13,9,0,1,minfill,"      p  l0n1
0  0.86  True",0,0,2,0.002947092056274414
0,No,16,9,0,1,minfill,"          p  l1n0
0  0.517696  True",12,12,2,0.01083230972290039
0,No,11,9,0,1,minfill,"      p  l0n2
0  0.83  True",0,0,2,0.0031952857971191406
0,No,12,9,0,1,minfill,"      p  l0n0
0  0.61  True",0,0,2,0.002907991409301758
0,No,15,9,0,1,minfill,"          p  l2n2
0  0.659512  True",80,68,2,0.027041912078857422
0,No,10,9,0,1,minfill,"      p   l0n0
0  0.89  False",0,0,2,0.002868175506591797
0,No,16,9,0,1,minfill,"          p   l1n1
0  0.514377  False",28,28,2,0.01551675796508789
0,No,13,9,0,1,minfill,"          p   l1n0
0  0.619861  False",28,28,2,0.01538395881652832
0,No,10,9,0,1,minfill,"         p   l1n2
0  0.66676  False",12,12,2,0.010530948638916016
0,No,13,9,0,1,minfill,"         p  l2n1
0  0.62578  True",40,36,2,0.020344972610473633
0,No,10,9,0,1,minfill,"      p   l1n1
0  0.55  False",4,4,2,0.006400108337402344
0,No,13,9,0,1,minfill,"          p  l2n1
0  0.562868  True",72,76,2,0.03190898895263672
0,No,16,9,0,1,minfill,"      p   l0n0
0  0.68  False",0,0,2,0.0028638839721679688
0,No,7,9,0,1,minfill,"      p  l0n2
0  0.93  True",0,0,2,0.002850770950317383
0,No,13,9,0,1,minfill,"      p   l0n1
0  0.98  False",0,0,2,0.0028688907623291016
0,No,10,9,0,1,minfill,"          p  l2n0
0  0.725178  True",32,32,2,0.019354820251464844
0,No,13,9,0,1,minfill,"          p   l2n2
0  0.566118  False",76,76,2,0.03227376937866211
0,No,9,9,0,1,minfill,"      p  l0n1
0  0.59  True",0,0,2,0.002855062484741211
0,No,15,9,0,1,minfill,"      p  l0n0
0  0.65  True",0,0,2,0.002875089645385742
0,No,8,9,0,1,minfill,"      p   l0n1
0  0.98  False",0,0,2,0.002851247787475586
0,No,14,9,0,1,minfill,"          p   l1n2
0  0.551245  False",12,12,2,0.010536909103393555
0,No,12,9,0,1,mindegree,"      p   l0n0
0  0.89  False",0,0,2,0.0027959346771240234
0,No,11,9,0,1,mindegree,"      p   l0n2
0  0.57  False",0,0,2,0.0027909278869628906
0,No,15,9,0,1,mindegree,"          p  l1n2
0  0.669785  True",28,28,2,0.014267683029174805
0,No,13,9,0,1,mindegree,"          p   l2n0
0  0.610005  False",76,76,2,0.027540922164916992
0,No,12,9,0,1,mindegree,"      p  l0n0
0  0.55  True",0,0,2,0.0028228759765625
0,No,12,9,0,1,mindegree,"          p  l1n0
0  0.592608  True",12,12,2,0.00989389419555664
0,No,11,9,0,1,mindegree,"      p  l0n0
0  0.92  True",0,0,2,0.0028121471405029297
0,No,11,9,0,1,mindegree,"        p   l1n0
0  0.9393  False",12,12,2,0.009885787963867188
0,No,11,9,0,1,mindegree,"      p   l0n2
0  0.54  False",0,0,2,0.0028259754180908203
0,No,13,9,0,1,mindegree,"      p  l0n1
0  0.61  True",0,0,2,0.002816915512084961
0,No,10,9,0,1,mindegree,"       p   l1n1
0  0.849  False",12,12,2,0.009862899780273438
0,No,10,9,0,1,mindegree,"          p   l2n0
0  0.651851  False",64,60,2,0.022449254989624023
0,No,8,9,0,1,mindegree,"     p  l0n2
0  0.7  True",0,0,2,0.0028052330017089844
0,No,12,9,0,1,mindegree,"          p  l2n2
0  0.568424  True",64,60,2,0.02276301383972168
0,No,12,9,0,1,mindegree,"          p  l1n1
0  0.538506  True",28,28,2,0.014082193374633789
0,No,10,9,0,1,mindegree,"          p   l2n1
0  0.588704  False",72,76,2,0.026623010635375977
0,No,15,9,0,1,mindegree,"          p   l1n1
0  0.770312  False",12,12,2,0.010386943817138672
0,No,12,9,0,1,mindegree,"      p   l0n2
0  0.64  False",0,0,2,0.002892732620239258
0,No,15,9,0,1,mindegree,"          p  l1n1
0  0.759456  True",12,12,2,0.01034092903137207
0,No,12,9,0,1,mindegree,"        p   l1n0
0  0.8451  False",4,4,2,0.006439924240112305
0,No,17,9,0,1,mindegree,"          p   l2n0
0  0.508882  False",176,140,2,0.029201269149780273
0,No,15,9,0,1,mindegree,"         p  l1n2
0  0.60528  True",28,28,2,0.014236927032470703
0,No,14,9,0,1,mindegree,"        p  l1n0
0  0.7276  True",12,12,2,0.009867191314697266
0,No,12,9,0,1,mindegree,"          p  l2n1
0  0.689946  True",56,52,2,0.02200603485107422
0,No,11,9,0,1,mindegree,"          p   l2n0
0  0.589071  False",32,32,2,0.017141103744506836
0,No,12,9,0,1,mindegree,"      p   l0n0
0  0.63  False",0,0,2,0.002804994583129883
0,No,10,9,0,1,mindegree,"          p  l1n2
0  0.535704  True",28,28,2,0.014075040817260742
0,No,15,9,0,1,mindegree,"          p   l2n1
0  0.633536  False",112,108,2,0.027817964553833008
0,No,12,9,0,1,mindegree,"      p   l1n0
0  0.86  False",0,0,2,0.002811908721923828
0,No,13,9,0,1,mindegree,"      p  l0n2
0  0.62  True",0,0,2,0.002794027328491211
0,No,14,9,0,1,random,"          p   l1n0
0  0.565984  False",28,28,2,0.01431417465209961
0,No,12,9,0,1,random,"      p   l0n0
0  0.84  False",0,0,2,0.002789020538330078
0,No,10,9,0,1,random,"         p   l1n1
0  0.88449  False",12,12,2,0.009741783142089844
0,No,15,9,0,1,random,"      p  l0n0
0  0.56  True",0,0,2,0.0027740001678466797
0,No,14,9,0,1,random,"        p   l1n0
0  0.5948  False",12,12,2,0.009766101837158203
