,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables:,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,0,minfill,"l2n2   l0n2   l1n2  l2n1   l0n0   l0n1  l1n0  l1n1  l2n0   p
0  True  False  False  True  False  False  True  True  True  0.117839",34,0,42,0.07142400742
0,No,6,9,0,0,minfill,"l2n2  l0n0   l1n2   l2n1   l0n1  l0n2  l1n0   l1n1   l2n0   p
0  True  True  False  False  False  True  True  False  False  0.022647",32,0,46,0.07010912895
0,No,6,9,0,0,minfill,"l2n1   l2n0  l0n1  l0n2   l1n2  l0n0   l1n0  l1n1   l2n2   p
0  False  False  True  True  False  True  False  True  False  0.040157",30,0,40,0.06907200813
0,No,6,9,0,0,minfill,"l2n2  l0n0   l1n1  l2n1  l0n1   l0n2  l1n0   l1n2   l2n0   p
0  True  True  False  True  True  False  True  False  False  0.038658",32,0,39,0.06871604919
0,No,6,9,0,0,minfill,"l2n2  l0n1   l1n0   l2n0  l0n0   l0n2  l1n1  l1n2   l2n1   p
0  True  True  False  False  True  False  True  True  False  0.314344",28,0,34,0.05987715721
0,No,6,9,0,0,minfill,"l2n2   l0n0  l1n1   l2n0   l0n1  l0n2  l1n0  l1n2  l2n1   p
0  False  False  True  False  False  True  True  True  True  0.094219",32,0,39,0.06732797623
0,No,6,9,0,0,minfill,"l2n1   l0n2   l1n0  l2n2   l0n1   l0n0   l1n1   l1n2   l2n0   p
0  False  False  False  True  False  False  False  False  False  0.0393",28,0,36,0.06410813332
0,No,6,9,0,0,minfill,"l2n0   l2n2  l0n1   l0n2  l0n0  l1n0  l1n1  l1n2   l2n1   p
0  False  False  True  False  True  True  True  True  False  0.164403",80,0,96,0.07381224632
0,No,6,9,0,0,minfill,"l2n1   l2n2  l0n0   l0n1   l0n2  l1n0  l1n1   l1n2   l2n0   p
0  True  False  True  False  False  True  True  False  False  0.067202
0  True  False  True  False  False  True  True  False   True  0.067202",47,0,58,0.07120275497
0,No,6,9,0,0,minfill,"l2n0  l2n2  l0n0   l0n1  l0n2   l1n0   l1n1   l1n2   l2n1   p
0  True  True  True  False  True  False  False  False  False  0.095098",85,0,99,0.08017063141
