,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,0,minfill,"   l0n2   l1n0  l2n0  l1n2   l2n1  l2n2   l0n0  l0n1  l1n1         p
0  True  False  True  True  False  True  False  True  True  0.068428",27,0,37,0.10230183601379395
0,No,6,9,0,0,minfill,"   l0n2   l1n1   l2n2  l1n2   l2n1  l2n0   l0n0   l0n1   l1n0         p
0  True  False  False  True  False  True  False  False  False  0.036133",28,0,36,0.06359171867370605
0,No,6,9,0,0,minfill,"    l2n2   l0n2  l1n2  l2n1   l0n0  l0n1  l1n0  l1n1  l2n0         p
0  False  False  True  True  False  True  True  True  True  0.040744",28,0,34,0.06841182708740234
0,No,6,9,0,0,minfill,"    l0n1  l1n0  l2n1  l1n1  l2n2   l2n0  l0n0  l0n2   l1n2        p
0  False  True  True  True  True  False  True  True  False  0.08489",26,0,34,0.06720209121704102
0,No,6,9,0,0,minfill,"   l2n1   l2n2  l0n0  l0n1  l0n2  l1n0   l1n1   l1n2   l2n0         p
0  True  False  True  True  True  True  False  False  False  0.129638",56,0,69,0.07584381103515625
0,No,6,9,0,0,minfill,"   l2n1   l0n2   l1n2   l2n2  l0n0   l0n1   l1n0  l1n1   l2n0         p
0  True  False  False  False  True  False  False  True  False  0.110742",44,0,54,0.07874679565429688
0,No,6,9,0,0,minfill,"   l2n0   l2n1  l0n1  l0n2  l0n0  l1n0  l1n1  l1n2   l2n2         p
0  True  False  True  True  True  True  True  True  False  0.041667",46,0,55,0.0727839469909668
0,No,6,9,0,0,minfill,"   l2n0  l0n2   l1n1  l2n1   l0n1  l0n0   l1n0  l1n2   l2n2         p
0  True  True  False  True  False  True  False  True  False  0.055949",32,0,44,0.06747698783874512
0,No,6,9,0,0,minfill,"    l1n1   l2n0   l0n0  l1n2   l2n2  l2n1  l0n1   l0n2   l1n0         p
0  False  False  False  True  False  True  True  False  False  0.079805",28,0,38,0.07113790512084961
0,No,6,9,0,0,minfill,"    l2n0  l0n2  l1n0  l2n1  l0n1  l0n0   l1n1   l1n2   l2n2         p
0  False  True  True  True  True  True  False  False  False  0.057666",32,0,40,0.0668342113494873
0,No,6,9,0,0,minfill,"    l2n2   l1n1  l2n1   l0n1   l0n0  l0n2   l1n0  l1n2   l2n0         p
0  False  False  True  False  False  True  False  True  False  0.081484",32,0,38,0.06336307525634766
0,No,6,9,0,0,minfill,"   l2n2  l0n2  l1n0   l2n0  l0n0   l0n1  l1n1   l1n2   l2n1         p
0  True  True  True  False  True  False  True  False  False  0.041493",28,0,34,0.0669398307800293
0,No,6,9,0,0,minfill,"   l2n1   l1n1  l2n0  l0n0  l0n1   l0n2   l1n0  l1n2   l2n2         p
0  True  False  True  True  True  False  False  True  False  0.086235",36,0,48,0.07038402557373047
0,No,6,9,0,0,minfill,"    l2n1  l1n2  l2n2  l0n1   l0n0  l0n2  l1n0  l1n1  l2n0         p
0  False  True  True  True  False  True  True  True  True  0.051764",40,0,48,0.06623005867004395
0,No,6,9,0,0,minfill,"   l2n2  l2n0   l0n1   l0n2   l1n1   l0n0   l1n0   l1n2  l2n1         p
0  True  True  False  False  False  False  False  False  True  0.213821",31,0,39,0.06736516952514648
0,No,6,9,0,0,minfill,"    l2n1   l2n2  l0n2  l0n0   l0n1   l1n0  l1n1   l1n2   l2n0         p
0  False  False  True  True  False  False  True  False  False  0.117402",88,0,104,0.07983517646789551
0,No,6,9,0,0,minfill,"    l2n0   l1n0  l2n2  l1n2   l2n1   l0n0  l0n1   l0n2  l1n1         p
0  False  False  True  True  False  False  True  False  True  0.064296",57,0,65,0.07803511619567871
0,No,6,9,0,0,minfill,"   l2n1   l2n2   l0n1  l0n0   l0n2  l1n0  l1n1   l1n2  l2n0         p
0  True  False  False  True  False  True  True  False  True  0.075781",44,0,54,0.06987810134887695
0,No,6,9,0,0,minfill,"    l2n1   l1n1  l2n0  l1n0   l2n2  l0n0   l0n1  l0n2   l1n2         p
0  False  False  True  True  False  True  False  True  False  0.081573",44,0,52,0.06876587867736816
0,No,6,9,0,0,minfill,"   l2n1  l1n1  l2n0  l0n0  l0n1  l0n2  l1n0   l1n2  l2n2         p
0  True  True  True  True  True  True  True  False  True  0.023984",36,0,48,0.07337808609008789
0,No,6,9,0,0,minfill,"   l2n0  l1n1   l2n2  l1n2  l2n1   l0n0   l0n1   l0n2   l1n0         p
0  True  True  False  True  True  False  False  False  False  0.019618",48,0,56,0.07723116874694824
0,No,6,9,0,0,minfill,"   l0n0  l1n1   l2n1  l1n2  l2n2   l2n0  l0n1  l0n2   l1n0        p
0  True  True  False  True  True  False  True  True  False  0.05248
0  True  True  False  True  True   True  True  True  False  0.05248",28,0,36,0.062211036682128906
0,No,6,9,0,0,minfill,"    l0n0  l1n0   l2n2  l0n1  l1n1   l2n1  l0n2   l1n2  l2n0         p
0  False  True  False  True  True  False  True  False  True  0.077011",24,0,30,0.06749391555786133
0,No,6,9,0,0,minfill,"    l2n1   l0n2  l1n0  l2n0  l0n0  l0n1  l1n1   l1n2   l2n2         p
0  False  False  True  True  True  True  True  False  False  0.067087",36,0,46,0.06856298446655273
0,No,6,9,0,0,minfill,"    l2n2   l0n0  l1n2   l2n0  l0n2   l0n1  l1n0  l1n1  l2n1         p
0  False  False  True  False  True  False  True  True  True  0.087497",28,0,36,0.06284713745117188
0,No,6,9,0,0,minfill,"    l2n2   l0n1   l1n0   l2n0  l0n2  l0n0  l1n1  l1n2  l2n1       p
0  False  False  False  False  True  True  True  True  True  0.0623",32,0,40,0.06160712242126465
0,No,6,9,0,0,minfill,"   l2n0  l1n1   l2n1   l1n2  l2n2   l0n0  l0n1   l0n2   l1n0         p
0  True  True  False  False  True  False  True  False  False  0.034311",44,0,52,0.07058882713317871
0,No,6,9,0,0,minfill,"    l2n2  l0n1  l1n1  l2n0   l0n0  l0n2  l1n0   l1n2   l2n1        p
0  False  True  True  True  False  True  True  False  False  0.11722",28,0,35,0.06755375862121582
0,No,6,9,0,0,minfill,"   l2n0   l1n2  l2n1   l0n0  l0n1  l0n2   l1n0  l1n1  l2n2         p
0  True  False  True  False  True  True  False  True  True  0.050449",34,0,44,0.06831789016723633
0,No,6,9,0,0,minfill,"   l2n2   l2n1  l0n1  l0n2   l1n2  l0n0   l1n0   l1n1  l2n0         p
0  True  False  True  True  False  True  False  False  True  0.028064",36,0,46,0.0794670581817627
0,No,6,9,0,0,mindegree,"    l2n2  l0n2   l1n1  l2n0   l0n0   l0n1   l1n0   l1n2   l2n1         p
0  False  True  False  True  False  False  False  False  False  0.040967",32,0,38,0.05845499038696289
0,No,6,9,0,0,mindegree,"   l2n2   l2n1  l0n0   l0n1  l1n1  l0n2   l1n0   l1n2  l2n0         p
0  True  False  True  False  True  True  False  False  True  0.068233",35,0,45,0.06430983543395996
0,No,6,9,0,0,mindegree,"    l2n1   l1n0   l2n2  l0n1   l0n0  l0n2  l1n1  l1n2  l2n0         p
0  False  False  False  True  False  True  True  True  True  0.100869",40,0,52,0.06424331665039062
0,No,6,9,0,0,mindegree,"   l2n1   l1n0  l2n2   l0n1  l0n2   l0n0   l1n1   l1n2  l2n0         p
0  True  False  True  False  True  False  False  False  True  0.082139",40,0,56,0.06585001945495605
0,No,6,9,0,0,mindegree,"    l2n0   l2n1   l0n0  l0n2   l0n1   l1n0  l1n1   l1n2   l2n2         p
0  False  False  False  True  False  False  True  False  False  0.109348",56,0,64,0.06280398368835449
