,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,15,9,0,0,minfill,"          p   l2n1  l2n2  l2n0   l0n1   l0n0  l0n2   l1n0  l1n1  l1n2
7  0.053535  False  True  True  False  False  True  False  True  True",139,0,166,0.12064313888549805
0,No,11,9,0,0,minfill,"          p  l2n0  l2n1  l0n0  l0n1   l0n2  l1n0   l1n1   l1n2   l2n2
8  0.059391  True  True  True  True  False  True  False  False  False",100,0,114,0.08390116691589355
0,No,16,9,0,0,minfill,"           p  l2n0   l2n1  l2n2   l0n2  l0n0   l0n1   l1n0  l1n1  l1n2
12  0.069948  True  False  True  False  True  False  False  True  True",122,0,158,0.08850502967834473
0,No,12,9,0,0,minfill,"          p  l2n0   l2n2   l0n0   l0n1  l0n2   l1n0   l1n1   l1n2  l2n1
5  0.058777  True  False  False  False  True  False  False  False  True",172,0,192,0.08932018280029297
0,No,13,9,0,0,minfill,"          p  l2n1   l2n0   l0n2  l0n1   l0n0  l1n0   l1n1  l1n2   l2n2
9  0.037875  True  False  False  True  False  True  False  True  False",156,0,202,0.08922195434570312
0,No,8,9,0,0,minfill,"          p  l2n2  l0n2  l1n2   l0n0  l0n1  l2n0   l1n0  l1n1   l2n1
7  0.077802  True  True  True  False  True  True  False  True  False",56,0,63,0.0715329647064209
0,No,16,9,0,0,minfill,"          p   l2n1   l2n0  l2n2   l0n0   l0n1  l0n2  l1n0   l1n1   l1n2
4  0.115682  False  False  True  False  False  True  True  False  False",136,0,155,0.08617711067199707
0,No,12,9,0,0,minfill,"          p   l2n1   l2n2   l2n0   l1n0   l0n2  l0n0   l0n1  l1n1  l1n2
0  0.075125  False  False  False  False  False  True  False  True  True",72,0,88,0.07842469215393066
0,No,11,9,0,0,minfill,"          p   l0n1   l0n0   l0n2   l2n1   l2n2   l1n0  l1n1   l1n2  l2n0
0  0.053934  False  False  False  False  False  False  True  False  True",113,0,114,0.07972598075866699
0,No,12,9,0,0,minfill,"          p   l2n2   l2n1   l2n0   l0n0  l1n0   l0n1  l0n2  l1n1  l1n2
3  0.059815  False  False  False  False  True  False  True  True  True",110,0,106,0.07960128784179688
0,No,16,9,0,0,minfill,"           p  l2n0   l2n2  l2n1   l0n0  l0n1   l0n2  l1n0  l1n1  l1n2
10  0.096736  True  False  True  False  True  False  True  True  True",195,0,191,0.08463501930236816
0,No,13,9,0,0,minfill,"          p   l2n1   l0n0  l0n2  l0n1   l2n0  l1n0   l1n1  l1n2  l2n2
7  0.047536  False  False  True  True  False  True  False  True  True",143,0,172,0.09404706954956055
0,No,12,9,0,0,minfill,"          p   l2n1   l0n1  l0n0  l0n2  l2n0   l1n0   l1n1   l1n2  l2n2
7  0.069806  False  False  True  True  True  False  False  False  True",140,0,181,0.09752607345581055
0,No,10,9,0,0,minfill,"          p   l0n1   l0n2   l0n0  l2n1   l2n2  l1n0   l1n1   l1n2   l2n0
2  0.126445  False  False  False  True  False  True  False  False  False",80,0,69,0.07942867279052734
0,No,16,9,0,0,minfill,"          p   l2n0  l2n1  l2n2  l0n2  l0n0  l0n1   l1n0  l1n1  l1n2
4  0.050771  False  True  True  True  True  True  False  True  True",138,0,166,0.08555102348327637
0,No,10,9,0,0,minfill,"          p  l2n1  l2n0  l2n2  l1n1   l1n2  l0n0  l0n1  l0n2   l1n0
35  0.08442  True  True  True  True  False  True  True  True  False",204,0,232,0.08787775039672852
0,No,10,9,0,0,minfill,"          p   l2n1  l2n0   l2n2   l1n1  l1n2   l0n0   l0n1  l0n2  l1n0
2  0.081179  False  True  False  False  True  False  False  True  True",218,0,218,0.08843207359313965
0,No,9,9,0,0,minfill,"          p   l0n1   l0n0   l1n0   l2n0   l0n2  l2n1  l1n1   l1n2   l2n2
0  0.170756  False  False  False  False  False  True  True  False  False",60,0,68,0.07382607460021973
0,No,12,9,0,0,minfill,"          p   l2n0   l2n2  l0n1   l0n2   l0n0   l1n0  l1n1  l1n2  l2n1
0  0.083865  False  False  True  False  False  False  True  True  True",108,0,148,0.08335685729980469
0,No,12,9,0,0,minfill,"           p   l2n2  l2n0  l0n2  l2n1  l1n0  l0n0   l0n1   l1n1  l1n2
16  0.026615  False  True  True  True  True  True  False  False  True",134,0,130,0.08044981956481934
0,No,17,9,0,0,minfill,"           p  l2n0  l2n1   l2n2  l0n0   l0n1  l0n2  l1n0   l1n1   l1n2
13  0.034337  True  True  False  True  False  True  True  False  False",196,0,201,0.08929610252380371
0,No,14,9,0,0,minfill,"          p   l2n0   l2n1   l2n2  l0n0  l0n1  l0n2  l1n0   l1n1  l1n2
0  0.199709  False  False  False  True  True  True  True  False  True",108,0,118,0.07914328575134277
0,No,15,9,0,0,minfill,"         p   l2n2  l2n0  l2n1   l0n0  l0n1   l0n2   l1n0  l1n1  l1n2
4  0.05484  False  True  True  False  True  False  False  True  True",166,0,185,0.08789873123168945
0,No,15,9,0,0,minfill,"          p   l2n1   l2n0  l2n2  l0n0  l0n1  l0n2   l1n0  l1n1  l1n2
4  0.052584  False  False  True  True  True  True  False  True  True",140,0,178,0.08842182159423828
0,No,12,9,0,0,minfill,"          p  l2n1   l2n2  l0n0   l0n2   l0n1   l1n0   l1n1  l1n2   l2n0
3  0.061692  True  False  True  False  False  False  False  True  False",100,0,124,0.08473682403564453
0,No,12,9,0,0,minfill,"         p  l2n0  l2n2  l0n0   l0n2  l0n1   l1n0   l1n1  l1n2   l2n1
5  0.05928  True  True  True  False  True  False  False  True  False",100,0,114,0.08352065086364746
