,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,1,random,"        p  l2n1
0  0.6988  True",8,8,2,0.07509279251098633
0,No,6,9,0,1,random,"      p   l1n0
0  0.82  False",0,0,2,0.0049898624420166016
0,No,6,9,0,1,random,"          p  l2n1
0  0.823417  True",20,20,2,0.022003889083862305
0,No,6,9,0,1,random,"         p  l2n2
0  0.64514  True",40,40,2,0.033992767333984375
0,No,6,9,0,1,random,"      p   l0n1
0  0.93  False",0,0,2,0.005989789962768555
0,No,6,9,0,1,random,"          p  l1n0
0  0.622888  True",12,12,2,0.016994953155517578
0,No,6,9,0,1,random,"          p  l1n0
0  0.892038  True",12,12,2,0.01703166961669922
0,No,6,9,0,1,random,"      p   l0n1
0  0.84  False",0,0,2,0.0039997100830078125
0,No,6,9,0,1,random,"      p  l1n1
0  0.75  True",0,0,2,0.004001140594482422
0,No,6,9,0,1,random,"          p  l2n1
0  0.767088  True",60,60,2,0.02899909019470215
0,No,6,9,0,1,random,"      p  l0n0
0  0.62  True",0,0,2,0.005010843276977539
0,No,6,9,0,1,random,"       p   l1n2
0  0.818  False",4,4,2,0.008996248245239258
0,No,6,9,0,1,random,"      p   l0n2
0  0.84  False",0,0,2,0.0039975643157958984
0,No,6,9,0,1,random,"      p   l0n2
0  0.58  False",0,0,2,0.004014253616333008
0,No,6,9,0,1,random,"      p   l1n0
0  0.65  False",0,0,2,0.004003286361694336
0,No,6,9,0,1,random,"        p   l2n1
0  0.8555  False",4,4,2,0.009971380233764648
0,No,6,9,0,1,random,"      p  l0n2
0  0.87  True",0,0,2,0.003998994827270508
0,No,6,9,0,1,random,"      p   l0n0
0  0.53  False",0,0,2,0.00396275520324707
0,No,6,9,0,1,random,"      p  l1n2
0  0.66  True",0,0,2,0.004003763198852539
0,No,6,9,0,1,random,"      p  l1n2
0  0.93  True",0,0,2,0.004998922348022461
0,No,6,9,0,1,random,"      p  l0n1
0  0.59  True",0,0,2,0.0039997100830078125
0,No,6,9,0,1,random,"      p  l1n0
0  0.65  True",0,0,2,0.003999948501586914
0,No,6,9,0,1,random,"          p   l1n0
0  0.503608  False",12,12,2,0.015999555587768555
0,No,6,9,0,1,random,"     p  l2n1
0  0.7  True",0,0,2,0.0040130615234375
0,No,6,9,0,1,random,"      p   l1n0
0  0.62  False",0,0,2,0.005002021789550781
0,No,6,9,0,1,random,"      p  l0n0
0  0.88  True",0,0,2,0.004000186920166016
0,No,6,9,0,1,random,"       p  l1n0
0  0.748  True",4,4,2,0.012035608291625977
0,No,6,9,0,1,random,"      p  l0n1
0  0.81  True",0,0,2,0.007997512817382812
