,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,0,random,"    l2n1   l2n0   l0n2  l1n0  l0n0   l1n2  l2n2   l1n1  l0n1         p
0  False  False  False  True  True  False  True  False  True  0.135653",184.0,0.0,208.0,0.4454774856567383
0,No,6,9,0,0,random,"   l2n0   l1n0   l2n2   l1n1  l0n0  l0n1   l0n2   l1n2   l2n1         p
0  True  False  False  False  True  True  False  False  False  0.157633",48.0,0.0,61.0,0.2943086624145508
0,No,6,9,0,0,random,"    l2n2  l1n0  l0n0  l0n2   l0n1   l1n2  l2n1  l1n1   l2n0         p
0  False  True  True  True  False  False  True  True  False  0.091107",54.0,0.0,62.0,0.547111988067627
0,No,6,9,0,0,random,"   l2n1  l0n1  l2n0   l1n1   l0n0  l1n2   l2n2   l1n0  l0n2         p
0  True  True  True  False  False  True  False  False  True  0.058431",27.0,0.0,41.0,0.6253218650817871
0,No,6,9,0,0,random,"   l2n2  l2n1  l1n2  l0n0  l1n1  l0n2   l0n1   l1n0  l2n0         p
0  True  True  True  True  True  True  False  False  True  0.043013",48.0,0.0,62.0,0.35752058029174805
0,No,6,9,0,0,random,"   l1n1  l2n2   l1n0  l0n1   l0n2   l2n1  l2n0   l0n0   l1n2        p
0  True  True  False  True  False  False  True  False  False  0.05408",40.0,0.0,50.0,0.29495882987976074
0,No,6,9,0,0,random,"   l2n2  l2n1   l1n0   l0n1   l1n1  l0n2   l0n0  l1n2  l2n0         p
0  True  True  False  False  False  True  False  True  True  0.054479",28.0,0.0,40.0,0.27298784255981445
0,No,6,9,0,0,random,"    l2n1  l2n2  l0n0  l0n2   l1n1  l1n2  l2n0  l1n0   l0n1         p
0  False  True  True  True  False  True  True  True  False  0.033906",27.0,0.0,41.0,0.2643723487854004
0,No,6,9,0,0,random,"   l2n1   l2n0   l1n2   l0n1   l0n0  l1n0   l0n2  l1n1   l2n2         p
0  True  False  False  False  False  True  False  True  False  0.149761",44.0,0.0,55.0,0.3252382278442383
0,No,6,9,0,0,random,"   l2n2   l1n2   l2n0  l1n0  l2n1  l0n2   l0n1   l1n1   l0n0         p
0  True  False  False  True  True  True  False  False  False  0.089499",42.0,0.0,52.0,0.3000195026397705
0,No,6,9,0,0,random,"   l2n2  l1n1   l0n1   l2n0   l0n2   l1n0   l0n0   l2n1   l1n2         p
0  True  True  False  False  False  False  False  False  False  0.161707",56.0,0.0,73.0,0.4130399227142334
0,No,6,9,0,0,random,"   l2n1   l1n2   l0n0  l1n0   l2n0   l0n2  l0n1  l1n1  l2n2         p
0  True  False  False  True  False  False  True  True  True  0.053126",48.0,0.0,62.0,0.41204166412353516
0,No,6,9,0,0,random,"   l0n0   l0n1  l1n2  l2n2  l2n1  l1n1  l1n0  l0n2  l2n0         p
0  True  False  True  True  True  True  True  True  True  0.129337",32.0,0.0,44.0,0.30399322509765625
0,No,6,9,0,0,random,"    l1n0  l2n1  l1n2   l2n0  l2n2  l0n2   l0n1  l1n1  l0n0         p
0  False  True  True  False  True  True  False  True  True  0.072304",42.0,0.0,50.0,0.2697477340698242
0,No,6,9,0,0,random,"    l2n1  l2n0  l1n0  l1n1   l0n2   l0n1  l1n2  l0n0  l2n2         p
0  False  True  True  True  False  False  True  True  True  0.140308",69.0,0.0,79.0,0.277449369430542
0,No,6,9,0,0,random,"    l2n2  l1n2   l1n0  l0n1   l2n0   l1n1   l0n0   l2n1   l0n2         p
0  False  True  False  True  False  False  False  False  False  0.071664",42.0,0.0,54.0,0.26218342781066895
0,No,6,9,0,0,random,"   l2n2  l0n0  l2n0   l1n0  l1n1   l0n1  l1n2  l2n1  l0n2         p
0  True  True  True  False  True  False  True  True  True  0.117722",32.0,0.0,46.0,0.3516957759857178
0,No,6,9,0,0,random,"    l1n1  l2n0   l1n2  l2n1  l0n0   l1n0   l0n2   l0n1   l2n2         p
0  False  True  False  True  True  False  False  False  False  0.128575",38.0,0.0,50.0,0.3073008060455322
0,No,6,9,0,0,random,"    l2n1  l1n2   l2n2   l0n2  l0n1  l1n0  l2n0  l1n1  l0n0        p
0  False  True  False  False  True  True  True  True  True  0.05655
0   True  True  False  False  True  True  True  True  True  0.05655",42.0,0.0,54.0,0.3191361427307129
0,No,6,9,0,0,random,"    l0n1   l2n2  l1n2  l0n0   l1n0   l0n2  l2n1  l1n1  l2n0         p
0  False  False  True  True  False  False  True  True  True  0.026427",32.0,0.0,41.0,0.33499789237976074
0,No,6,9,0,0,random,"    l2n1  l1n0   l2n0  l0n1   l0n2   l1n2  l2n2  l1n1  l0n0         p
0  False  True  False  True  False  False  True  True  True  0.120464",48.0,0.0,66.0,0.320997953414917
0,No,6,9,0,0,random,"    l1n0  l2n2   l1n1   l2n1  l0n1   l0n0   l0n2  l1n2  l2n0         p
0  False  True  False  False  True  False  False  True  True  0.088392",35.0,0.0,47.0,0.27822089195251465
0,No,6,9,0,0,random,"    l2n0  l1n0  l0n2  l2n1   l2n2   l0n1   l0n0  l1n1  l1n2         p
0  False  True  True  True  False  False  False  True  True  0.041668",26.0,0.0,40.0,0.267000675201416
0,No,6,9,0,0,random,"   l2n2   l2n0   l1n2  l0n2  l1n0   l1n1   l0n0  l2n1  l0n1         p
0  True  False  False  True  True  False  False  True  True  0.027434",46.0,0.0,62.0,0.3582634925842285
0,No,6,9,0,0,random,"   l2n1  l1n1   l1n0   l2n0   l0n2   l0n1  l0n0  l2n2  l1n2         p
0  True  True  False  False  False  False  True  True  True  0.104178",38.0,0.0,52.0,0.3309972286224365
0,No,6,9,0,0,random,"    l1n0  l2n0  l0n1  l1n1   l1n2  l0n2   l2n2  l0n0   l2n1         p
0  False  True  True  True  False  True  False  True  False  0.044317",58.0,0.0,69.0,0.447141170501709
0,No,6,9,0,0,random,"   l1n2  l2n0  l0n2  l2n2  l1n0   l2n1   l0n0   l1n1  l0n1         p
0  True  True  True  True  True  False  False  False  True  0.161407",29.0,0.0,41.0,0.354994535446167
0,No,6,9,0,0,random,"    l1n2   l2n1  l2n2   l0n1  l1n0   l0n2  l1n1  l0n0   l2n0         p
0  False  False  True  False  True  False  True  True  False  0.051907",70.0,0.0,79.0,0.27317118644714355
0,No,6,9,0,0,random,"   l0n2  l2n0  l1n1   l2n2   l1n2   l1n0  l2n1  l0n1   l0n0         p
0  True  True  True  False  False  False  True  True  False  0.049538",43.0,0.0,57.0,0.17800521850585938
0,No,6,9,0,0,random,"   l2n2  l1n0  l2n0   l0n2  l0n1   l0n0   l1n2   l1n1  l2n1         p
0  True  True  True  False  True  False  False  False  True  0.037437",34.0,0.0,44.0,0.29179859161376953
0,No,6,9,0,0,minfill,"    l2n0  l0n0  l1n2   l2n1  l0n1  l0n2  l1n0  l1n1   l2n2         p
0  False  True  True  False  True  True  True  True  False  0.115262",28.0,0.0,35.0,0.32898974418640137
0,No,6,9,0,0,minfill,"    l0n2   l1n0   l2n0   l0n0  l1n1   l2n2   l0n1  l1n2  l2n1         p
0  False  False  False  False  True  False  False  True  True  0.049256",24.0,0.0,34.0,0.3821702003479004
0,No,6,9,0,0,minfill,"   l2n2  l0n0  l1n2  l2n0  l0n1  l0n2  l1n0   l1n1  l2n1        p
0  True  True  True  True  True  True  True  False  True  0.01529",32.0,0.0,40.0,0.3499755859375
0,No,6,9,0,0,minfill,"    l2n1   l0n2  l1n2   l2n0   l0n0  l0n1  l1n0   l1n1   l2n2         p
0  False  False  True  False  False  True  True  False  False  0.025536
0   True  False  True  False  False  True  True  False  False  0.025536",40.0,0.0,50.0,0.3840062618255615
0,No,6,9,0,0,minfill,"    l2n0  l2n1  l0n0  l0n2  l1n2   l0n1   l1n0   l1n1  l2n2         p
0  False  True  True  True  True  False  False  False  True  0.029559",34.0,0.0,44.0,0.2962038516998291
0,No,6,9,0,0,minfill,"   l2n1  l2n0   l0n0  l0n2  l1n0   l0n1   l1n1  l1n2  l2n2         p
0  True  True  False  True  True  False  False  True  True  0.035072",35.0,0.0,45.0,0.3621983528137207
0,No,6,9,0,0,minfill,"    l2n0  l0n1   l1n1  l2n2   l0n0  l0n2  l1n0  l1n2   l2n1         p
0  False  True  False  True  False  True  True  True  False  0.109876",34.0,0.0,44.0,0.3180415630340576
0,No,6,9,0,0,minfill,"   l0n2  l1n0  l2n0  l0n0  l1n1   l2n1   l0n1  l1n2   l2n2         p
0  True  True  True  True  True  False  False  True  False  0.142171",24.0,0.0,30.0,0.31444621086120605
0,No,6,9,0,0,minfill,"    l2n0  l2n1   l0n0   l0n1   l1n0   l0n2   l1n1   l1n2  l2n2         p
0  False  True  False  False  False  False  False  False  True  0.035257",30.0,0.0,39.0,0.27895259857177734
0,No,6,9,0,0,minfill,"    l2n0  l0n1  l1n0  l2n1  l0n0   l0n2  l1n1   l1n2  l2n2       p
0  False  True  True  True  True  False  True  False  True  0.0853",32.0,0.0,40.0,0.2809932231903076
0,No,6,9,0,0,minfill,"    l2n0  l2n2  l0n1   l0n0   l0n2   l1n0  l1n1   l1n2   l2n1         p
0  False  True  True  False  False  False  True  False  False  0.046754",45.0,0.0,53.0,0.32647180557250977
0,No,6,9,0,0,minfill,"    l2n2   l1n2  l2n0  l0n2   l0n0   l0n1  l1n0   l1n1   l2n1         p
0  False  False  True  True  False  False  True  False  False  0.040149",40.0,0.0,50.0,0.35514020919799805
0,No,6,9,0,0,minfill,"   l2n1  l1n2   l2n0   l0n0  l0n1  l0n2  l1n0   l1n1   l2n2         p
0  True  True  False  False  True  True  True  False  False  0.072736",52.0,0.0,64.0,0.12004637718200684
0,No,6,9,0,0,minfill,"   l0n0  l1n0   l2n1   l0n2  l1n1  l2n2   l0n1  l1n2   l2n0         p
1  True  True  False  False  True  True  False  True  False  0.069272",24.0,0.0,32.0,0.1139984130859375
0,No,6,9,0,0,minfill,"    l2n1  l1n0  l2n2  l0n0   l0n1  l0n2   l1n1   l1n2   l2n0         p
0  False  True  True  True  False  True  False  False  False  0.069832",32.0,0.0,38.0,0.11400294303894043
0,No,6,9,0,0,minfill,"   l2n0   l0n1   l1n1   l2n1  l0n0  l0n2  l1n0   l1n2  l2n2         p
0  True  False  False  False  True  True  True  False  True  0.094887",36.0,0.0,46.0,0.12100028991699219
0,No,6,9,0,0,minfill,"    l2n1   l1n2   l2n0   l0n1   l0n2   l0n0  l1n0  l1n1   l2n2         p
0  False  False  False  False  False  False  True  True  False  0.074496",32.0,0.0,39.0,0.11497092247009277
0,No,6,9,0,0,minfill,"   l2n1   l1n0   l2n2   l0n1  l0n0  l0n2  l1n1  l1n2  l2n0         p
0  True  False  False  False  True  True  True  True  True  0.067247",32.0,0.0,40.0,0.10899639129638672
0,No,6,9,0,0,minfill,"   l2n2  l0n1  l1n2  l2n0   l0n2   l0n0   l1n0  l1n1  l2n1         p
0  True  True  True  True  False  False  False  True  True  0.326047",28.0,0.0,36.0,0.11699652671813965
0,No,6,9,0,0,minfill,"    l2n0  l2n2  l0n1   l0n0   l0n2   l1n0   l1n1   l1n2   l2n1         p
0  False  True  True  False  False  False  False  False  False  0.077252",41.0,0.0,49.0,0.11223268508911133
0,No,6,9,0,0,minfill,"   l2n2  l0n0  l1n0   l2n1   l0n1  l0n2   l1n1   l1n2   l2n0         p
0  True  True  True  False  False  True  False  False  False  0.066053",34.0,0.0,44.0,0.1120455265045166
0,No,6,9,0,0,minfill,"    l2n0   l2n1   l0n0  l0n1  l0n2  l1n0   l1n1  l1n2   l2n2         p
0  False  False  False  True  True  True  False  True  False  0.074859",52.0,0.0,62.0,0.1189725399017334
0,No,6,9,0,0,minfill,"   l1n0   l2n0   l0n2   l1n1   l2n2  l2n1  l0n0  l0n1  l1n2         p
0  True  False  False  False  False  True  True  True  True  0.047014",26.0,0.0,34.0,0.12199974060058594
0,No,6,9,0,0,minfill,"    l0n1   l1n0  l2n2   l1n1  l2n0   l2n1   l0n0  l0n2   l1n2        p
0  False  False  True  False  True  False  False  True  False  0.02831",27.0,0.0,35.0,0.10204339027404785
0,No,6,9,0,0,minfill,"   l2n0   l0n1   l1n2  l2n2  l0n2   l0n0   l1n0   l1n1   l2n1         p
0  True  False  False  True  True  False  False  False  False  0.029681",32.0,0.0,46.0,0.12703537940979004
