,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,1,random,"          p  l2n0
0  0.565746  True",72,72,2,0.16407203674316406
0,No,6,9,0,1,random,"          p   l2n0
0  0.511511  False",60,60,2,0.10784769058227539
0,No,6,9,0,1,random,"       p   l1n1
0  0.784  False",4,4,2,0.03000020980834961
0,No,6,9,0,1,minfill,"      p  l0n0
0  0.71  True",0,0,2,0.012636423110961914
0,No,6,9,0,1,minfill,"      p   l1n0
0  0.98  False",0,0,2,0.014052629470825195
0,No,6,9,0,1,minfill,"      p   l0n2
0  0.75  False",0,0,2,0.014002799987792969
0,No,6,9,0,1,mindegree,"      p  l1n2
0  0.71  True",0,0,2,0.013982057571411133
0,No,6,9,0,1,mindegree,"      p   l2n1
0  0.95  False",0,0,2,0.013955116271972656
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.782376  False",8,8,2,0.05999159812927246
0,No,6,9,0,5,random,"   l0n2   l2n1   l1n0        p
0  True  False  False  0.27328",2,0,8,0.060944557189941406
0,No,6,9,0,5,random,"    l2n1  l0n1  l0n0         p
0  False  True  True  0.365568",0,0,6,0.06595587730407715
0,No,6,9,0,5,random,"    l2n0  l0n1   l1n0   l2n1         p
0  False  True  False  False  0.284433",32,28,10,0.12695550918579102
0,No,6,9,0,5,minfill,"   l1n2  l0n1  l2n2   l2n1        p
0  True  True  True  False  0.52962",2,0,10,0.08101272583007812
0,No,6,9,0,5,minfill,"    l2n1  l2n2  l1n2   l0n1  l0n0         p
0  False  True  True  False  True  0.118014",41,16,31,0.19998669624328613
0,No,6,9,0,5,minfill,"   l0n0   l1n0  l2n0  l0n2   l1n1         p
0  True  False  True  True  False  0.197614",8,4,12,0.12383055686950684
0,No,6,9,0,5,mindegree,"    l0n1  l2n1   l1n2  l1n0         p
0  False  True  False  True  0.232124",10,4,12,0.12801218032836914
0,No,6,9,0,5,mindegree,"   l2n1  l0n2   l1n2   l2n2         p
0  True  True  False  False  0.267341",34,28,12,0.1620481014251709
0,No,6,9,0,5,mindegree,"   l0n0  l2n2  l0n2   l1n2  l1n1         p
0  True  True  True  False  True  0.127218",4,4,10,0.1019594669342041
0,No,6,9,4,1,random,"    l1n2         p
0  False  0.398272",8,14,2,0.09190225601196289
0,No,6,9,4,1,random,"   l2n1     p
0  True  0.69",22,36,2,0.13699579238891602
0,No,6,9,4,1,random,"    l1n1         p
0  False  0.474688",4,10,2,0.09805178642272949
0,No,6,9,4,1,minfill,"    l0n0     p
0  False  0.67",4,10,2,0.08104777336120605
0,No,6,9,4,1,minfill,"    l0n1         p
0  False  0.651014",2,4,2,0.09396004676818848
0,No,6,9,4,1,minfill,"         p
0  0.17555",8,12,0,0.11600470542907715
0,No,6,9,4,1,mindegree,"    l1n0        p
0  False  0.40989",6,10,2,0.07699441909790039
