,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,0,random,"    l0n0  l2n1  l1n2  l2n2   l0n2   l1n0   l2n0   l0n1   l1n1         p
0  False  True  True  True  False  False  False  False  False  0.131246",36.0,0.0,50.0,0.48887014389038086
0,No,6,9,0,0,random,"   l2n2   l1n2   l0n2   l1n0   l2n1   l1n1  l2n0   l0n1   l0n0         p
0  True  False  False  False  False  False  True  False  False  0.046659",42.0,0.0,56.0,0.7200613021850586
0,No,6,9,0,0,random,"    l1n2  l0n1  l2n0  l0n0   l1n0   l2n1  l0n2  l2n2   l1n1         p
0  False  True  True  True  False  False  True  True  False  0.136706",38.0,0.0,49.0,0.5435190200805664
0,No,6,9,0,0,minfill,"    l2n0   l2n2  l0n0  l0n2   l0n1   l1n0   l1n1   l1n2  l2n1         p
0  False  False  True  True  False  False  False  False  True  0.133254",45.0,0.0,53.0,0.6685748100280762
0,No,6,9,0,0,minfill,"    l2n1  l2n0  l0n0   l0n2   l1n1  l0n1  l1n0  l1n2   l2n2         p
0  False  True  True  False  False  True  True  True  False  0.082215",32.0,0.0,41.0,0.45055341720581055
0,Yes,6,9,0,0,minfill,,,,,
0,No,6,9,0,0,mindegree,"    l2n1  l2n2  l0n0  l0n1  l0n2   l1n0  l1n1  l1n2   l2n0         p
0  False  True  True  True  True  False  True  True  False  0.033164",56.0,0.0,68.0,0.37554121017456055
0,No,6,9,0,0,mindegree,"    l2n2  l0n2   l1n1   l2n1   l0n0   l0n1   l1n0  l1n2  l2n0         p
0  False  True  False  False  False  False  False  True  True  0.120665",32.0,0.0,38.0,0.3802328109741211
0,No,6,9,0,0,mindegree,"   l2n0  l2n1  l0n0   l0n2  l1n1  l0n1   l1n0   l1n2  l2n2         p
0  True  True  True  False  True  True  False  False  True  0.065912",30.0,0.0,40.0,0.37952637672424316
0,No,6,9,4,0,random,"   l1n0  l2n1   l0n0   l2n2  l0n1  l1n2   l0n2   l1n1         p
0  True  True  False  False  True  True  False  False  0.001634",10.0,0.0,22.0,0.3166821002960205
